结算时间,订单号,子订单号,结算金额,结算账户,结算单类型,有结算前退款,下单时间,商品ID,商品数量,业务类型,订单类型,订单总价,商品总价,运费,店铺劵,结算前退款金额,平台补贴,达人补贴,抖音支付补贴,抖音月付营销补贴,银行补贴,以旧换新抵扣,平台补贴运费,用户实付,收入合计,平台服务费,达人佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,其他分成说明,支出合计,是否免佣,免佣金额,备注,dyOrder
2024/7/28 11:29,'6932318371016611046,'6932318371016611046,195.02,聚合账户,已结算,否,2024/7/18 19:22,'3620016564239264842,1,小店自卖,普通订单,239,239,0,40,0,4,0,0,0,0,0,0,195,199,-3.98,0,0,0,0,0,0,,-3.98,,0,,''6932318371016611046
2024/7/28 11:21,'6932275447505426375,'6932275447505426375,195.02,聚合账户,已结算,否,2024/7/17 16:19,'3620016564239264842,1,小店自卖,普通订单,239,239,0,40,0,0,0,0,0,0,0,0,199,199,-3.98,0,0,0,0,0,0,,-3.98,,0,,''6932275447505426375
2024/7/28 12:45,'6932291874658981621,'6932291874658981621,293.02,聚合账户,已结算,否,2024/7/17 17:35,'3645602464511698399,1,小店自卖,普通订单,399,399,0,100,0,0,0,0,0,0,0,0,299,299,-5.98,0,0,0,0,0,0,,-5.98,,0,,''6932291874658981621
2024/7/28 12:44,'6932260950943602099,'6932260950943602099,146.02,聚合账户,已结算,否,2024/7/16 18:38,'3645602464511698399,1,小店自卖,普通订单,249,249,0,100,0,3,0,0,0,0,0,0,146,149,-2.98,0,0,0,0,0,0,,-2.98,,0,,''6932260950943602099
2024/7/28 12:41,'6932287195624379459,'6932287195624379459,234.22,聚合账户,已结算,否,2024/7/17 19:52,'3620016564239264842,1,小店自卖,普通订单,279,279,0,40,0,0,0,0,0,0,0,0,239,239,-4.78,0,0,0,0,0,0,,-4.78,,0,,''6932287195624379459
2024/7/28 13:42,'6932284614074701641,'6932284614074701641,195.02,聚合账户,已结算,否,2024/7/17 16:39,'3645602464511698399,1,小店自卖,普通订单,299,299,0,100,0,0,0,0,0,0,0,0,199,199,-3.98,0,0,0,0,0,0,,-3.98,,0,,''6932284614074701641
2024/7/28 13:42,'6932286957075306077,'6932286957075306077,195.02,聚合账户,已结算,否,2024/7/17 17:41,'3645602464511698399,1,小店自卖,普通订单,299,299,0,100,0,0,0,0,0,0,0,0,199,199,-3.98,0,0,0,0,0,0,,-3.98,,0,,''6932286957075306077
2024/7/28 13:40,'6932249549439178662,'6932249549439178662,400.82,聚合账户,已结算,否,2024/7/16 18:50,'3653768848580183172,1,小店自卖,普通订单,529,529,0,120,0,0,0,0,0,0,0,0,409,409,-8.18,0,0,0,0,0,0,,-8.18,,0,,''6932249549439178662
2024/7/28 13:34,'6932320210640967587,'6932320210640967587,293.02,聚合账户,已结算,否,2024/7/18 15:30,'3645602464511698399,1,小店自卖,普通订单,399,399,0,100,0,0,0,0,0,0,0,0,299,299,-5.98,0,0,0,0,0,0,,-5.98,,0,,''6932320210640967587
2024/7/28 13:31,'6932302580640322937,'6932302580640322937,175.42,聚合账户,已结算,否,2024/7/18 17:49,'3621112255317429906,1,小店自卖,普通订单,239,239,0,60,0,0,0,0,0,0,0,0,179,179,-3.58,0,0,0,0,0,0,,-3.58,,0,,''6932302580640322937
2024/7/28 15:52,'6932291866451056530,'6932291866451056530,185.22,聚合账户,已结算,否,2024/7/17 17:22,'3690835059750862959,1,小店自卖,普通订单,289,289,0,100,0,0,0,0,0,0,0,0,189,189,-3.78,0,0,0,0,0,0,,-3.78,,0,,''6932291866451056530
2024/7/28 15:43,'6932294092576920843,'6932294092576920843,371.42,聚合账户,已结算,否,2024/7/17 17:02,'3653768848580183172,1,小店自卖,普通订单,499,499,0,120,0,0,0,0,0,0,0,0,379,379,-7.58,0,0,0,0,0,0,,-7.58,,0,,''6932294092576920843
2024/7/28 15:31,'6932282367339468684,'6932282367339468684,244.02,聚合账户,已结算,否,2024/7/17 16:37,'3645602464511698399,1,小店自卖,普通订单,349,349,0,100,0,0,0,0,0,0,0,0,249,249,-4.98,0,0,0,0,0,0,,-4.98,,0,,''6932282367339468684
2024/7/28 15:27,'6932267322028005193,'6932267322028005193,234.22,聚合账户,已结算,否,2024/7/17 16:30,'3620016564239264842,1,小店自卖,普通订单,279,279,0,40,0,0,0,0,0,0,0,0,239,239,-4.78,0,0,0,0,0,0,,-4.78,,0,,''6932267322028005193
2024/7/28 15:19,'6932291707064554828,'6932291707064554828,175.42,聚合账户,已结算,否,2024/7/17 16:27,'3621112255317429906,1,小店自卖,普通订单,239,239,0,60,0,0,0,0,0,0,0,0,179,179,-3.58,0,0,0,0,0,0,,-3.58,,0,,''6932291707064554828
2024/7/28 15:18,'6932240441300358964,'6932240441300358964,273.42,聚合账户,已结算,否,2024/7/16 17:57,'3653768848580183172,1,小店自卖,普通订单,399,399,0,120,0,0,0,0,0,0,0,0,279,279,-5.58,0,0,0,0,0,0,,-5.58,,0,,''6932240441300358964
2024/7/28 15:17,'6932267557436266207,'6932267557436266207,185.22,聚合账户,已结算,否,2024/7/16 18:54,'3690835059750862959,1,小店自卖,普通订单,289,289,0,100,0,0,0,0,0,0,0,0,189,189,-3.78,0,0,0,0,0,0,,-3.78,,0,,''6932267557436266207
2024/7/28 15:15,'6932262992852227580,'6932262992852227580,371.42,聚合账户,已结算,否,2024/7/16 19:50,'3653768848580183172,1,小店自卖,普通订单,499,499,0,120,0,0,0,0,0,0,0,0,379,379,-7.58,0,0,0,0,0,0,,-7.58,,0,,''6932262992852227580
2024/7/29 8:50,'6932443617763136645,'6932443617763136645,146.02,聚合账户,已结算,否,2024/7/22 18:37,'3645602464511698399,1,小店自卖,普通订单,249,249,0,100,0,0,0,0,0,0,0,0,149,149,-2.98,0,0,0,0,0,0,,-2.98,,0,,''6932443617763136645
2024/7/29 8:46,'6932328959256433965,'6932328959256433965,146.02,聚合账户,已结算,否,2024/7/18 16:31,'3645602464511698399,1,小店自卖,普通订单,249,249,0,100,0,0,0,0,0,0,0,0,149,149,-2.98,0,0,0,0,0,0,,-2.98,,0,,''6932328959256433965
2024/7/29 8:43,'6932322344555321300,'6932322344555321300,283.22,聚合账户,已结算,否,2024/7/18 18:11,'3653768848580183172,1,小店自卖,普通订单,409,409,0,120,0,0,0,0,0,0,0,0,289,289,-5.78,0,0,0,0,0,0,,-5.78,,0,,''6932322344555321300
2024/7/29 8:41,'6932315489996904139,'6932315489996904139,234.22,聚合账户,已结算,否,2024/7/18 17:38,'3620016564239264842,1,小店自卖,普通订单,279,279,0,40,0,0,0,0.1,0,0,0,0,238.9,239,-4.78,0,0,0,0,0,0,,-4.78,,0,,''6932315489996904139
2024/7/29 9:58,'6932302498573064016,'6932302498573064016,244.02,聚合账户,已结算,否,2024/7/18 16:38,'3645602464511698399,1,小店自卖,普通订单,349,349,0,100,0,0,0,0,0,0,0,0,249,249,-4.98,0,0,0,0,0,0,,-4.98,,0,,''6932302498573064016
