订单号,父单号,订单状态,下单时间,完成时间,商品ID,联盟商品ID,商品名称,商品店铺名称,商品数量,商品售后中数量,商品已退货数量,同跨店,付款金额,佣金比例,分成比例,预估计佣金额,预估佣金,实际计佣金额,实际佣金,结算信息,下单平台,plus订单,推广角色,是否京喜红包,是否拼购,是否复购,是否首购,是否预售,推广位ID,推广位名称,PID,第三方服务平台,网站ID,礼金批次,礼金分摊金额,是否联盟礼金,是否推客礼金,价保金额,团长渠道ID,渠道名称,subUnionId,channelId,是否为内容场订单
2.98166E+11,0,已完成,2024/7/8 13:16,2024/7/12 9:39,1.0107E+13,daMwkVNtDNh4jv7hE14fKffQ_3ioM2Cp7uDT5L90lDY,VGN A75 有线单模 电竞磁轴键盘 客制化 全键热插拔 gasket结构  电竞游戏 A75-磁轴-蓝色渐变侧刻,VGN官方旗舰店,1,0,0,同店,249,0.10%,90.00%,249,0.23,249,0.23,{"20240820":0.225},无线,否,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.94858E+11,0,已完成,2024/7/7 20:16,2024/7/12 7:57,1.00741E+13,ATTZPSE3XL65C3p0sHG8K9pS_3WEwxutg5X5FvVR8wB,VGN N75有线/无线/蓝牙三模客制化机械键盘gasket结构全键热插拔游戏电竞办公键盘 单模N75 动力银轴 白色,VGN官方旗舰店,1,0,0,同店,118.95,0.10%,90.00%,119,0.11,118.95,0.11,{"20240820":0.108},无线,否,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.98168E+11,0,已完成,2024/7/8 15:08,2024/7/11 14:35,1.00884E+13,6vVW1HYJKf6Pgstwv7F2pTNY_sweEZ06xs7zbVVWLvE,VGN V87有线/无线/蓝牙三模客制化机械键盘gasket结构全键热插拔游戏电竞办公键盘IP联名款 V87PRO  阿尼亚轴 微光 雾透侧刻,VGN官方旗舰店,1,0,0,同店,249,0.10%,90.00%,249,0.23,249,0.23,{"20240820":0.225},无线,否,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.98025E+11,0,已完成,2024/7/6 12:12,2024/7/11 11:43,1.00915E+13,E4AlxB6z7138SjVqUGkdQmDu_3PAqF4ngG7ZvwvgK1l,VGN V98PRO V2 三模有线/蓝牙/无线 客制化键盘 机械键盘 电竞游戏 办公家用 全键热插拔  gasket结构 V98Pro-V2 蓝莓冰淇淋轴 海盐,VGN官方旗舰店,1,0,0,同店,377.97,0.10%,90.00%,379,0.34,377.97,0.34,{"20240820":0.342},无线,是,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.98131E+11,0,已完成,2024/7/9 11:21,2024/7/11 11:14,1.0107E+13,3nW3qMcM3Uw5jYBkYPz7zgpM_3cvPzVofY3sKDTNwkT,VGN A75 有线单模 电竞磁轴键盘 客制化 全键热插拔 gasket结构  电竞游戏 A75-磁轴-白,VGN官方旗舰店,1,0,0,同店,189,0.10%,90.00%,189,0.17,189,0.17,{"20240820":0.171},无线,否,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.9489E+11,0,已完成,2024/7/8 12:59,2024/7/10 14:52,1.00915E+13,fsX4Wbm0jgASPnfPzeNFQSTj_3uiINmQ29jdz4g9lQa,VGN V98PRO V2 三模有线/蓝牙/无线 客制化键盘 机械键盘 电竞游戏 办公家用 全键热插拔  gasket结构 V98Pro-V2 极地狐轴 限定款,VGN官方旗舰店,1,0,0,同店,409,0.10%,90.00%,409,0.37,409,0.37,{"20240820":0.369},无线,否,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.9801E+11,0,已完成,2024/7/6 0:55,2024/7/10 12:21,1.00881E+13,3nW3qMcM3Uw5jYV79Pz7zhyL_3cvPzVofY3sKf4Fe2T,VGN V87有线/无线/蓝牙三模客制化机械键盘gasket结构全键热插拔游戏电竞办公键盘IP联名款 V87 动力银轴 果冻橙,VGN官方旗舰店,1,0,0,同店,163.58,0.10%,90.00%,149,0.14,148.58,0.14,{"20240820":0.135},无线,是,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.98099E+11,0,已完成,2024/7/6 18:32,2024/7/10 11:21,1.00881E+13,czqr8AtYshCAiyPa0ct1nbbV_336URiMmGsFSVFbJWa,VGN V87有线/无线/蓝牙三模客制化机械键盘gasket结构全键热插拔游戏电竞办公键盘IP联名款 V87 动力银轴 加勒比海,VGN官方旗舰店,1,0,0,同店,147.05,0.10%,90.00%,149,0.14,147.05,0.14,{"20240820":0.135},无线,是,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.98085E+11,0,已完成,2024/7/6 9:44,2024/7/10 10:33,1.0107E+13,3nW3qMcM3Uw5jbWSDPz7PjZQ_3cvPzVofY3sKDTNwkT,VGN A75 有线单模 电竞磁轴键盘 客制化 全键热插拔 gasket结构  电竞游戏 A75-磁轴-白,VGN官方旗舰店,1,0,0,同店,189,0.10%,90.00%,189,0.17,189,0.17,{"20240820":0.171},无线,否,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.98202E+11,0,已完成,2024/7/9 13:01,2024/7/10 10:01,1.0107E+13,3nW3qMcM3Uw5jbWSDPz7PjZQ_3cvPzVofY3sKDTNwkT,VGN A75 有线单模 电竞磁轴键盘 客制化 全键热插拔 gasket结构  电竞游戏 A75-磁轴-白,VGN官方旗舰店,1,0,0,同店,189,0.10%,90.00%,189,0.17,189,0.17,{"20240820":0.171},无线,否,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.98194E+11,2.94865E+11,已完成,2024/7/9 12:56,2024/7/10 8:34,1.0107E+13,R0kllXBPHCS3N5sX6rF2PUsz_3OPK6QmoqHEtShFhFL,VGN A75 有线单模 电竞磁轴键盘 客制化 全键热插拔 gasket结构  电竞游戏 A75-磁轴-黑,VGN官方旗舰店,1,0,0,同店,189,0.10%,90.00%,189,0.17,189,0.17,{"20240820":0.171},无线,否,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.98098E+11,0,已完成,2024/7/8 11:58,2024/7/10 8:27,1.0107E+13,R0kllXBPHCS3N5sX6rF2PUsz_3OPK6QmoqHEtShFhFL,VGN A75 有线单模 电竞磁轴键盘 客制化 全键热插拔 gasket结构  电竞游戏 A75-磁轴-黑,VGN官方旗舰店,1,0,0,同店,187.88,0.10%,90.00%,189,0.17,187.88,0.17,{"20240820":0.171},无线,否,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.94801E+11,0,已完成,2024/7/5 21:23,2024/7/9 13:47,1.00915E+13,fsX4Wbm0jgASPn4ZDeNFQzGH_3uiINmQ29jdz4g9lQa,VGN V98PRO V2 三模有线/蓝牙/无线 客制化键盘 机械键盘 电竞游戏 办公家用 全键热插拔  gasket结构 V98Pro-V2 极地狐轴 限定款,VGN官方旗舰店,1,0,0,同店,405.83,0.10%,90.00%,409,0.37,405.83,0.37,{"20240820":0.369},无线,是,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.98113E+11,0,已完成,2024/7/7 0:51,2024/7/9 9:28,1.0107E+13,3nW3qMcM3Uw5jbjkWPz7PWpF_3cvPzVofY3sKDTNwkT,VGN A75 有线单模 电竞磁轴键盘 客制化 全键热插拔 gasket结构  电竞游戏 A75-磁轴-白,VGN官方旗舰店,1,0,0,同店,189,0.10%,90.00%,189,0.17,189,0.17,{"20240820":0.171},无线,否,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.97908E+11,0,已完成,2024/7/3 11:24,2024/7/8 17:35,1.0107E+13,R0kllXBPHCS3N5kpjrF2PDVM_3OPK6QmoqHEtShFhFL,VGN A75 有线单模 电竞磁轴键盘 客制化 全键热插拔 gasket结构  电竞游戏 A75-磁轴-黑,VGN官方旗舰店,1,0,0,同店,189,0.10%,90.00%,189,0.17,189,0.17,{"20240820":0.171},无线,否,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.94751E+11,2.94764E+11,已完成,2024/7/3 12:22,2024/7/8 17:05,1.0107E+13,R0kllXBPHCS3N5kpjrF2PDVM_3OPK6QmoqHEtShFhFL,VGN A75 有线单模 电竞磁轴键盘 客制化 全键热插拔 gasket结构  电竞游戏 A75-磁轴-黑,VGN官方旗舰店,1,0,0,同店,188.45,0.10%,90.00%,189,0.17,188.45,0.17,{"20240820":0.171},无线,是,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.98083E+11,0,已完成,2024/7/6 10:17,2024/7/8 16:55,1.00768E+13,751e2jYv4HkwuF60yMvomAJv_3vbTdJ0Ny4wBWc9CdN,VGN S99 三模连接 蓝牙/无线 客制化键盘 机械键盘 游戏电竞 办公 单键开槽 全键热插拔 gasket结构 S99 极光冰淇淋轴 鎏金黑,VGN官方旗舰店,1,0,0,同店,436.15,3.00%,90.00%,439,11.85,436.15,11.77,{"20240820":11.772},无线,是,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.98025E+11,0,已完成,2024/7/4 18:16,2024/7/8 15:31,1.0107E+13,3nW3qMcM3Uw5jYLjpPz7zro7_3cvPzVofY3sKDTNwkT,VGN A75 有线单模 电竞磁轴键盘 客制化 全键热插拔 gasket结构  电竞游戏 A75-磁轴-白,VGN官方旗舰店,1,0,0,同店,187.88,0.10%,90.00%,189,0.17,187.88,0.17,{"20240820":0.171},无线,否,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
2.94789E+11,0,已完成,2024/7/5 12:25,2024/7/8 12:17,1.00914E+13,jvZ5IlWmuWOSY6fdoqrnCDOT_3525UfSyCuO6VTn8BH,VGN VXE海妖V1蓝牙5.3/2.4G双模轻量化设计头戴式耳机带麦电竞游戏吃鸡电脑网课办公耳麦 VGN海妖V1黑色,VGN官方旗舰店,1,0,0,同店,98.98,0.10%,90.00%,99,0.09,98.98,0.09,{"20240820":0.090},无线,否,推客,否,否,否,否,否,3003800870,游戏动力VGN,1002453015_4100359265_3003800870,Bilibili,4100359265,,0,否,否,0,0,,,0,否
